,oficialista,opositor
decirle,20,13
decirles,3,0
decirlo,7,10
decirme,2,0
decirse,6,5
decirte,6,1
decision,1,0
decisiones,11,24
decisiva,0,1
decisive,1,0
decisivo,0,1
decisión,27,32
declamaba,1,0
declamada,0,1
declaman,1,0
declame,1,0
declara,1,1
declaraba,1,0
declaracion,1,0
declaraciones,13,19
declaración,13,21
declarada,0,1
declaradas,1,1
declarado,5,2
declarados,1,0
declarando,2,0
declarandose,1,0
declarar,3,6
declarara,1,0
declararia,1,0
declararon,2,0
declararse,0,1
declare,0,2
declaró,5,1
declinaba,1,0
declinado,1,0
declinando,1,0
declinar,1,0
declinaron,1,0
decline,0,1
declinó,2,0
decodificado,0,1
decodificar,1,0
decodificarla,1,0
deconstrucción,2,0
deconstruir,1,0
decorando,1,0
decreciente,0,1
decreció,1,0
decretado,1,0
decretar,0,1
decreto,6,1
decretos,1,4
decretó,1,0
decí,1,0
decía,117,29
decíamos,2,5
decían,21,6
decírmelo,1,0
decírtelo,1,0
decís,9,0
dedica,2,0
dedicaba,1,1
dedicación,1,0
dedicada,0,2
dedicado,2,1
dedicamos,2,0
dedican,0,1
dedicar,1,0
dedicara,0,1
dedicarle,0,1
dedicarlo,1,0
dedicarnos,1,0
dedicaron,2,0
dedicarse,2,0
dedicó,4,1
dedillo,0,1
dedito,0,3
dedja,1,0
dedo,14,10
dedos,10,5
deducciones,1,0
deducir,1,0
default,3,16
defaultear,0,1
defección,1,0
defecto,1,0
defectos,2,1
defender,11,9
defenderla,1,1
defenderlo,3,2
defenderme,2,0
defendernos,0,1
defenderse,4,2
defenderá,2,0
defendida,1,0
defendido,0,2
defendidos,1,0
defendiendo,6,2
defendieron,1,3
defendiéndolo,1,0
defendió,1,1
defendía,2,0
defendían,0,1
defensa,13,17
defensas,2,0
defensiva,2,2
defensivas,1,0
defensivo,2,0
defensor,1,2
defensores,1,5
deficiente,0,2
defienda,3,0
defiende,5,3
defienden,5,1
defiendo,1,0
defina,0,1
define,4,3
definen,1,0
definiciones,2,2
definición,3,5
definido,4,1
definidos,0,1
definiera,1,0
definimos,0,1
definir,4,3
definirlo,0,1
definirán,0,1
definitiva,6,9
definitivamente,4,2
definitivo,2,2
definitivos,0,2
definitoria,1,0
definió,6,1
definí,1,0
definía,1,0
defraudada,0,1
defraudados,1,0
defunción,0,1
degollaban,0,2
degollarlo,1,0
degrada,1,0
degradación,1,0
degradan,1,0
degradantes,1,0
degradó,0,1
deguste,2,0
deja,25,20
dejaba,17,1
dejaban,6,0
dejadez,1,0
dejado,22,9
dejados,0,1
dejame,2,0
dejamos,3,0
dejan,8,12
dejando,5,4
dejar,30,33
dejara,2,1
dejaran,0,1
dejaremos,0,2
dejarla,1,0
dejarlas,3,1
dejarle,2,3
dejarlo,0,2
dejarlos,1,1
dejarme,1,0
dejarnos,1,0
dejaron,11,5
dejarse,3,0
dejará,2,3
dejarán,1,1
dejaría,0,2
dejarían,1,1
dejate,1,0
deje,4,9
dejen,1,0
dejo,3,2
dejá,2,0
dejáme,1,0
dejámelo,2,0
dejándolo,1,0
dejársela,2,0
dejé,4,1
dejémosle,1,0
dejés,1,0
dejó,26,28
delante,7,7
delantera,1,0
delatan,1,0
delectación,0,1
delega,0,2
delegaba,1,0
delegaciones,1,1
delegación,3,1
delegado,1,0
delegados,1,1
delegar,2,0
delegó,2,1
deleuze,2,0
delfines,4,0
delfinescamente,1,0
delfino,0,2
delfor,2,0
delfín,5,0
delgada,1,1
delgado,2,1
deliberaciones,2,1
delicada,1,1
delicadeza,1,0
delicadezas,1,0
delicado,1,3
delicados,1,0
delicatessen,1,0
delictivos,0,2
delimitados,1,0
delincan,0,1
delincuencia,7,2
delincuente,0,6
delincuentes,5,6
delineaba,1,1
delineado,2,0
delineados,3,0
delineando,2,0
delinearon,2,0
delinque,0,1
delinquen,0,1
delinquir,1,1
delirando,1,0
delirante,2,1
delirio,1,2
delirios,0,1
delito,6,27
delitos,2,22
demagogia,2,1
demagogias,1,0
demagógicas,0,1
demagógico,0,2
demanda,4,17
demandado,3,0
demandados,0,1
demandan,0,1
demandando,0,1
demandante,1,0
demandantes,0,2
demandar,1,2
demandaron,1,0
demandará,0,1
demandas,8,3
demandó,0,1
demarchi,0,1
demas,0,3
demasiada,3,1
demasiadas,2,0
demasiado,23,16
demasiados,0,1
demasía,0,1
democracia,42,23
democracias,2,2
democratización,3,0
democratizar,0,1
democrática,16,6
democráticamente,1,1
democráticas,1,1
democrático,21,7
democráticos,2,4
demoledor,0,1
demoledora,1,2
demoler,0,1
demolición,0,2
demolido,1,0
demoliendo,1,0
demonio,1,1
demonización,2,0
demonizada,0,1
demonizar,3,0
demora,4,1
demoraban,1,0
demoracia,0,1
demoran,0,1
demorar,0,1
demoró,1,0
demos,1,1
demostraba,1,0
demostraban,1,0
demostrable,1,0
demostraciones,1,0
demostración,1,3
demostrado,4,4
demostrando,1,2
demostrar,8,2
demostrativo,1,0
demostrémosle,1,0
demostró,4,6
demuestra,8,9
demuestran,3,2
demuestre,4,0
demás,20,21
demérito,1,0
demócrata,3,0
demócratas,1,1
den,3,5
dengue,1,0
denigrado,0,1
denigrar,1,0
denigrarla,1,0
denis,2,0
denle,1,0
denodadamente,0,1
denodado,0,1
denomina,0,1
denominada,0,1
denominado,2,0
denominador,0,1
denominadores,0,1
denominar,0,1
denota,1,2
denso,1,0
densos,2,0
dentista,0,2
dentro,33,40
denuestan,1,0
denuestos,1,0
denuncia,11,20
denunciada,0,1
denunciado,2,3
denunciados,0,1
denuncian,0,5
denunciando,0,1
denunciantes,0,2
denunciar,3,6
denunciaran,1,0
denunciarlo,1,1
denunciaron,0,4
denunciarán,0,1
denuncias,8,20
denuncien,1,1
denuncio,1,0
denunció,7,7
deparará,0,1
departamentito,1,0
departamento,13,3
departamentos,1,3
deparó,1,0
depende,4,7
dependen,2,2
dependencia,1,2
depender,1,1
dependerá,0,2
dependiendo,0,2
dependiente,3,0
dependía,1,1
depetri,0,1
deponer,0,1
deportación,0,1
deporte,2,0
deportiva,4,0
deportivo,2,1
deportivos,1,0
deposiciones,2,0
depositaba,1,0
depositado,0,2
depositar,1,1
depositario,1,1
deposítelo,0,1
depredada,0,1
depredador,0,1
depredar,0,1
deprenden,0,1
depresivo,1,0
depresión,0,1
deprimida,1,0
depuesto,3,0
depurando,1,0
depósito,0,1
depósitos,0,1
derecha,76,17
derechas,1,0
derechistas,1,0
derecho,44,29
derechos,29,42
deriva,0,1
derivadas,1,0
derivado,1,0
derivan,0,1
derivaron,1,0
derivaría,0,1
derive,1,0
derivó,1,1
derogaban,2,0
derogación,0,1
derogado,1,0
derogadora,1,0
derogadoras,1,0
derogadores,3,0
derogan,1,0
derogando,1,0
derogar,6,0
derogaron,1,0
derogarían,1,0
deroguen,1,0
derogándolos,2,0
derosos,2,0
derrama,0,1
derramada,0,1
derramando,1,0
derramaron,0,1
derrapa,1,0
derribó,1,1
derrida,1,0
derrocada,1,0
derrocamiento,0,2
derrocan,1,0
derrocando,1,0
derrocar,1,0
derrocaron,1,0
derrota,15,13
derrotada,0,1
derrotadas,4,0
derrotado,8,1
derrotados,0,2
derrotar,2,0
derrotarlo,2,0
derrotas,0,2
derrotero,0,1
derrumbado,1,0
derrumbar,1,1
derrumbe,2,0
derrumbó,1,1
des,3,0
desabastecimientos,0,1
desabrochado,1,0
desacato,1,2
desacelera,1,0
desaciertos,1,0
desacompasados,1,0
desacongojó,1,0
desaconsejado,1,0
desacreditar,0,1
desactivado,1,0
desactivar,0,2
desactivarlo,0,1
desactualizado,0,1
desacuerdo,1,1
desafectada,1,0
desafiante,1,0
desafiar,0,1
desafió,0,2
desafortunada,0,1
desafortunado,0,1
desafuero,0,1
desafía,2,0
desafío,4,13
desafíos,2,4
desagraciado,1,0
desagradan,1,0
desagrado,0,2
desaguisados,0,1
desahogado,1,0
desahucio,1,0
desaire,1,0
desalentarlos,1,0
desalmado,1,0
desalojarlos,2,0
desalojaron,1,0
desalojo,1,0
desamor,1,2
desamparo,2,0
desandando,0,2
desandar,1,0
desanduvieron,0,1
desangelada,1,0
desaparece,2,2
desaparecedor,1,0
desaparecer,0,1
desaparecerlo,1,0
desaparecerme,0,1
desaparecidas,3,0
desaparecido,4,1
desaparecidos,7,6
desaparecieron,1,2
desaparición,3,7
desapasionándose,1,0
desapcho,0,1
desapercibida,0,2
desaprensión,1,0
desaprobatoria,1,0
desarmaba,1,0
desarmadas,0,1
desarmar,0,3
desarmaran,0,1
desarmó,1,0
desarraigo,1,0
desarrolla,3,3
desarrollada,0,1
desarrolladas,1,0
desarrollado,2,2
desarrollan,1,1
desarrollando,1,0
desarrollar,3,1
desarrollaron,3,0
desarrollarse,0,1
desarrollaría,0,1
desarrollo,25,14
desarrollándose,1,1
desarrolló,1,2
desarticularía,1,0
desasociarse,1,0
desasosiego,0,2
desastre,7,2
desastres,1,0
desastrosa,0,3
desata,1,0
desatada,1,0
desatan,1,0
desatar,2,1
desatención,0,1
desató,2,1
desautoriza,0,1
desautorizado,0,1
desautorizar,1,1
desavenencias,2,0
desayunado,0,1
desayunaron,1,0
desayuno,3,0
desbande,5,0
desbarajuste,0,8
desborda,2,0
desbordaba,1,0
desbordada,1,0
desbordado,1,0
desbordados,0,1
desbordante,0,1
desborde,2,0
desbordes,2,0
desbordó,0,1
desca,1,0
descabezaban,1,0
descabezamiento,1,0
descafeinada,3,0
descalifica,1,0
descalificaciones,0,2
descalificación,0,2
descalificado,0,1
descalificar,1,2
descalificó,0,2
descalzo,1,0
descansar,1,2
descanso,3,1
descapitalizada,0,1
descaradamente,1,1
descarga,1,0
descargar,1,0
descargaron,0,1
descargas,1,0
descargos,1,0
descargó,0,2
descaro,3,0
descartan,1,0
descartar,0,2
descartaron,1,0
descarte,1,0
descartes,1,0
descarto,1,1
descartó,3,1
descendente,0,1
descendiendo,1,0
descendiente,2,0
descenso,0,4
descensos,1,0
descensus,0,1
descentrado,1,0
descerebrado,1,0
descerrajaba,1,0
descerrajando,1,0
descienda,0,1
desciende,1,0
descienden,1,0
descifrar,3,0
descifré,1,0
descolgar,0,1
descolocados,2,0
descolocan,1,0
descolocó,1,0
descomedido,0,1
descompensado,1,0
descompone,1,0
descomponía,1,0
descomposición,4,0
descomprimir,1,0
descomunal,1,0
desconcentrar,0,1
desconcertada,1,0
desconcertado,1,0
desconcertados,1,0
desconcertantes,0,1
desconfiada,0,1
desconfiando,1,0
desconfianza,2,4
desconfianzas,0,1
desconfié,1,0
desconfía,0,1
desconocedor,1,0
desconocemos,0,1
desconocen,1,1
desconocer,0,2
desconocerlo,0,1
desconocida,2,0
desconocidas,0,1
desconocido,4,1
desconocidos,1,0
desconocimiento,2,0
desconocía,3,0
desconocíamos,1,0
desconozco,0,2
descons,1,0
desconsoladas,1,0
desconsolados,1,0
descontado,1,1
descontento,0,1
descontextualizada,0,1
descontractura,1,0
descontrol,1,2
descontrolada,0,1
descorrer,0,1
descree,1,1
descreí,0,1
describa,1,0
describe,11,4
describen,4,0
describieron,0,1
describir,2,0
describiría,0,1
describió,0,2
describo,1,0
describía,2,0
describían,1,0
descripción,1,0
descripta,1,0
descriptivos,1,0
descrédito,2,0
descubierta,1,1
descubierto,5,5
descubre,0,2
descubren,1,0
descubridor,0,1
descubriendo,1,0
descubriera,1,0
descubrieron,0,3
descubrimos,0,1
descubrir,4,1
descubrirse,1,0
descubrió,3,4
descubro,1,1
descubrí,2,0
descubría,1,0
descubrían,1,0
descuento,0,1
descuidado,1,0
descuidarse,0,1
descuido,2,2
desdibujada,1,0
desdibujaron,1,0
desdibujarse,1,0
desdibujaría,0,1
desdicha,1,1
desdiga,0,1
desdoblada,1,1
desdoblados,0,1
desdoblamiento,0,1
desdramatizó,1,1
desdé,1,0
desdémona,1,0
desdén,2,0
desea,2,1
deseable,0,1
deseada,1,1
deseado,2,0
deseamos,0,2
desean,3,1
deseante,1,0
desear,3,1
desearon,1,0
desearía,3,0
desechadas,1,0
desechado,1,0
desechan,1,0
desechos,1,0
desembarcaba,0,2
desembarcará,0,1
desembarco,1,1
desembarcó,1,0
desembocado,1,0
desembocaría,1,0
desembocó,0,1
desemejanza,1,0
desempate,1,0
desempeña,0,1
desempeñaba,0,1
desempeñada,0,1
desempeñado,0,1
desempeñando,1,0
desempeñarse,0,1
desempeño,3,8
desempeñó,0,1
desempleo,2,4
desencadenar,1,0
desencajado,1,0
desencanto,1,0
desenchufar,1,0
desencuentro,0,1
desencuentros,1,0
desendeudado,1,0
desendeudamiento,7,2
desendeudando,1,0
desenfadado,1,0
desenfoque,1,0
desenfrenado,1,0
desenfreno,0,1
desenfunda,1,0
desenlace,1,0
desenmascarar,1,0
desenredar,0,1
desentenderme,1,0
desentendida,0,1
desentrañar,0,1
deseo,8,7
deseos,5,8
desequilibrada,0,2
desequilibrio,0,1
desequilibrios,0,1
deserciones,2,0
deserción,0,1
desertar,1,0
desertores,1,0
desesperación,4,2
desesperadamente,1,0
desesperado,1,0
desesperados,2,1
desesperante,1,0
desesperanzas,1,0
desestabilización,1,3
desestabilizar,0,6
desestimación,0,1
desestimar,0,3
desestimó,1,1
desestructuración,0,1
desfa,1,0
desfachatado,1,0
desfachatez,1,0
desfallecieron,1,0
desfasada,0,1
desfase,0,1
desfavor,0,1
desfibriló,1,0
desfiguradas,1,0
desfilar,0,1
desfilaran,1,0
desfilaron,1,0
desfile,0,1
desfiló,0,1
desgaja,1,0
desgajamiento,1,0
desgarrada,0,1
desgarradoras,1,0
desgarrados,1,0
desgarro,0,1
desgastadora,1,0
desgastar,1,0
desgaste,4,3
desglosé,1,0
desgrabación,0,1
desgracia,4,3
desgraciadamente,0,2
desgraciadas,0,1
desgraciado,0,1
desgranados,1,0
desgravación,0,1
desgravada,0,1
desgravadas,0,1
desgravar,0,1
desguazar,0,1
deshacerlas,0,1
deshacerse,2,0
deshacía,1,0
deshicieron,1,0
deshilachado,1,0
deshilachados,0,1
desidiosos,2,0
desierto,2,2
designaciones,2,1
designación,1,6
designada,1,0
designadas,1,0
designado,1,5
designados,1,1
designarla,1,0
designarlo,0,1
designase,0,1
designe,0,1
designó,1,2
desigual,6,1
desigualdad,4,1
desilusionarse,1,0
desilusionás,1,0
desilusión,1,0
desinflar,1,0
desinfor,1,0
desinformación,1,0
desinformado,1,0
desinteresadamente,0,2
desinterés,4,0
desintoxicarse,0,1
desinversión,0,1
desistan,1,0
desistir,1,1
desjubilarse,1,0
deslegitimar,0,1
deslenguamientos,1,0
desligarse,0,1
desliz,0,1
desliza,2,0
deslizaban,1,0
deslizamiento,1,0
deslizan,0,1
deslizó,1,1
deslumbraba,1,0
deslumbrados,1,0
deslumbrante,5,0
deslumbrantes,1,0
desmadre,1,0
desmandada,1,0
desmanejo,0,1
desmanejos,0,1
desmantelada,0,1
desmantelamiento,2,0
desmantelar,1,0
desmarcar,1,0
desmayaba,1,0
desmayan,2,0
desmedida,1,0
desmedido,0,1
desmembramiento,1,0
desmentida,1,7
desmentidas,2,2
desmentir,0,1
desmenuzar,1,0
desmenuzó,1,0
desmerecerlo,1,0
desmereciéndose,1,0
desmesura,5,4
desmesurado,0,2
desmesuras,0,1
desmiente,0,1
desmienten,1,0
desmintieron,0,2
desmintió,1,3
desmontar,2,1
desmorona,0,1
desmoronando,0,2
desniveles,0,1
desnuda,2,1
desnudamiento,1,0
desnudando,0,1
desnudar,0,1
desnudo,2,2
desnudos,3,2
desobedeció,1,0
desobediencia,1,0
desocupación,0,1
desocupado,1,0
desocupados,3,1
desolación,2,0
desolador,0,1
desopilantes,0,1
desorbitada,2,0
desorganizado,1,0
desorienta,1,0
desorientación,1,2
desorientada,1,1
desorientan,0,1
desoye,1,0
desoídor,1,0
despabilarse,1,0
despacho,27,5
despachos,1,4
despacio,1,3
despacito,3,0
desparpajo,1,0
desparramaba,1,0
desparramadas,1,0
desparramado,2,0
despectiva,1,0
despectivamente,2,0
despedida,4,4
despedido,2,2
despedidos,1,1
despedimos,2,0
despedir,0,1
despedirlo,0,1
despedirse,1,1
despedía,2,0
despegaba,1,0
despegaban,1,0
despegar,1,3
despegarse,1,1
despegue,0,1
despejada,1,1
despejado,1,1
despejar,2,0
despejaron,1,0
despejarse,1,0
despejen,0,1
despelotes,2,0
despenalización,1,4
despenalizar,1,1
desperdicie,1,0
desperdicio,0,1
desperdigados,1,0
desperfiló,0,1
despertaba,1,0
despertado,2,1
despertaron,4,0
despertó,5,0
despide,2,1
despidieron,2,0
despidió,1,3
despido,2,1
despidos,3,3
despierta,2,1
despiertan,0,1
despierto,1,0
despilfarro,0,2
desplante,0,1
desplaza,1,0
desplazaba,1,0
desplazado,1,3
desplazamiento,0,4
desplazando,1,0
desplazar,0,2
desplazara,0,1
desplazaron,0,1
desplazó,1,1
desplegaba,1,0
desplegaban,1,0
desplegando,1,0
desplegar,4,0
desplegarlo,1,0
desplegué,1,0
desplegó,3,1
despliega,3,0
despliegue,1,0
desplome,1,0
desplumado,1,0
despojada,0,1
despojo,1,0
despolitización,1,0
despolitizarnos,0,1
desposeídos,1,0
despouy,0,1
desprecia,0,1
despreciaba,1,0
despreciable,1,3
despreciables,0,1
despreciadores,1,0
desprecian,4,1
desprecio,9,6
desprejuiciadamente,1,0
desprejuiciadas,1,0
desprende,5,2
desprender,1,0
desprendiera,0,1
desprendieron,1,0
desprendimiento,1,0
desprestigiado,0,3
desprestigiados,0,1
desprestigio,2,1
desprestigiándolos,1,0
desprevenido,0,1
desprogresados,1,0
desprolijidad,1,3
desprolijo,2,2
desprolijos,1,1
despropósito,0,1
desprovisto,0,1
despues,8,0
despuntaba,1,0
después,305,82
despótico,0,1
desquerido,1,0
desquicia,1,0
desquicio,1,0
desquitando,1,0
desrelatarlo,1,0
desrelato,1,0
destacada,0,1
destacado,0,1
destacados,1,0
destacan,0,1
destacar,0,1
destacaron,0,1
destacó,14,0
destapó,0,1
destaque,1,0
destartalado,1,0
destemplada,2,0
destempladas,0,1
destemplados,1,0
destilan,2,0
destilerías,1,0
destina,1,0
destinada,1,2
destinadas,2,1
destinado,0,6
destinarme,1,0
destinaron,1,0
destinarse,1,0
destinatario,2,0
destinatarios,1,0
destino,18,9
destinos,2,1
destitución,0,2
destituido,1,0
destituir,2,0
destituyendo,0,1
destituyente,4,1
destituyentes,0,1
destituído,0,1
destituídos,0,1
destrabar,0,1
destrata,0,1
destrato,0,1
destrozar,1,0
destrucción,1,7
destructivo,1,0
destructor,1,0
destruida,0,1
destruir,3,2
destruirlo,1,0
destruya,0,1
destruye,2,1
desubicada,1,0
desubicado,1,0
desuso,1,1
desvanecido,2,0
desvanecidos,1,0
desvanecimiento,1,0
desvanecían,1,0
desvaído,1,0
desvelo,1,0
desventaja,1,0
desventajosas,0,1
desviaba,1,0
desviación,2,1
desviada,0,1
desviado,4,0
desviados,1,0
desviando,0,1
desvinculación,0,1
desvían,1,0
desvío,3,0
desvíos,2,0
desánimo,3,0
detalla,1,0
detallaba,1,0
detalladamente,1,0
detallado,0,1
detallar,0,1
detallarles,1,0
detalle,5,9
detalles,9,8
detallista,1,0
detallistas,0,1
detalló,2,1
detecta,0,2
detectar,1,1
detectó,0,1
detenciones,0,1
detención,8,7
detendrá,1,0
detendrían,1,0
detener,1,5
detenerme,2,0
detenerse,3,0
detenga,2,0
detengamos,1,0
detenida,0,1
detenidas,2,0
detenido,5,6
detenidos,6,3
detenimiento,1,3
detenta,0,1
detentan,1,0
detentaría,0,1
detenía,6,0
deteriora,0,1
deterioradas,1,0
deteriorado,2,2
deteriorando,0,2
deteriorar,1,0
deterioro,0,7
determina,1,1
determinaciones,0,1
determinación,0,1
determinada,1,1
determinadas,2,6
determinado,4,5
determinados,3,5
determinan,0,2
determinante,1,1
determinar,2,4
detesta,2,1
detestaba,2,0
detesto,1,0
detestándonos,1,0
detiene,3,1
detractores,1,0
detratarse,1,0
detrimento,0,1
detrás,11,14
detuviera,1,0
detuvieran,1,0
detuvieron,1,1
detuvo,1,1
deuda,13,23
deudas,6,5
deudores,0,1
devaluación,1,7
devaluado,0,1
devaluar,1,3
devaluatorio,0,1
devaluó,0,1
devastación,2,0
devastado,0,1
devastador,1,0
develada,0,1
develadora,1,0
develando,1,0
devengados,1,0
devenir,0,2
devino,1,1
devolución,0,1
devolver,1,0
devolverle,0,1
devolviéndoles,1,0
devolviéndolos,0,1
devolvió,1,0
devolvía,1,1
devolvían,1,0
devorada,1,0
devorado,1,0
devorados,1,0
devorar,1,0
devoró,1,0
devota,0,1
devotazo,2,0
devuelta,1,0
devuelto,0,2
devuelva,0,2
devuelvan,0,1
devuelve,1,0
df,6,0
di,12,16
dia,3,0
diablo,4,2
diabólico,1,0
diagnóstico,0,3
diagnósticos,1,0
diagonal,1,1
diagrama,1,0
diagramada,3,0
dialecto,2,0
dialectos,1,0
dialoga,1,1
dialogando,1,0
dialogar,4,2
dialogo,0,3
dialogó,1,0
dialéctica,7,0
dialéctico,1,0
diament,1,0
diana,2,5
diaria,0,3
diariamente,1,1
diarias,1,1
diario,43,14
diarios,22,9
dias,3,0
diatribas,2,0
dibuja,1,0
dibujaba,1,0
dibujaban,0,1
dibujada,1,1
dibujado,1,0
dibujante,1,0
dibujar,2,1
dibujarla,1,0
dibuje,4,0
dibujitos,1,0
dibujo,4,0
dibujos,2,0
dibujé,1,0
dibujó,2,0
diccionario,0,3
diccionarios,2,0
dicción,1,0
dice,255,53
dicen,47,24
dicha,1,0
dichas,1,0
dicho,48,21
dichos,1,1
diciembre,21,32
diciendo,28,16
diciédole,1,0
diciéndole,2,0
diciéndoles,1,0
dicta,0,1
dictaba,1,0
dictadas,0,1
dictado,1,1
dictador,1,1
dictadores,2,0
dictadura,39,16
dictaduras,4,3
dictamen,3,3
dictaminado,0,1
dictamine,0,1
dictando,0,2
dictar,2,1
dictarse,1,0
dictatoriales,1,0
dictionary,1,0
dictámenes,0,2
dictó,0,1
didáctico,0,2
dieciocho,1,1
diecisiete,2,2
dieciséis,2,0
diego,11,6
diente,1,0
dientes,6,2
diera,4,1
dieran,1,0
dieron,23,7
diestra,1,0
diez,33,27
diezmada,3,0
diezmadas,1,0
diezmar,0,1
diezmo,1,0
difamación,3,0
difamado,1,0
diferencia,10,12
diferenciación,1,0
diferenciadas,2,0
diferencian,1,1
diferenciarse,1,1
diferencias,12,8
diferenció,1,0
diferente,7,4
diferentes,27,12
dificultad,1,1
dificultades,3,12
difiere,1,0
difundamos,1,0
difunde,1,0
difunden,1,0
difundida,1,0
difundido,1,1
difundir,1,2
difundían,1,0
difunto,0,1
difusión,1,2
difusos,1,0
difícil,38,26
difíciles,3,3
difícilmente,2,0
diga,15,3
digamos,15,11
digan,7,2
diganme,1,0
digas,6,0
digerir,1,0
digital,3,0
digna,0,3
dignan,0,1
dignidad,14,4
dignificados,2,0
dignificar,0,1
digno,2,0
dignos,6,1
digo,33,23
digresión,0,1
dije,49,6
dijera,3,1
dijeras,1,0
dijeron,18,6
dijese,1,0
dijimos,3,4
dijiste,1,0
dijo,218,107
diktadura,1,0
dilaciones,1,1
dilapidada,0,1
dilapidado,0,1
dilapidados,1,0
dilapidan,0,2
dilapidó,0,2
dilema,3,1
dilemas,1,1
diles,1,0
diligencia,0,1
diligente,0,1
dilma,5,8
diluir,1,0
diluye,2,0
diluyendo,0,1
diluía,1,0
dimensionar,2,0
dimensiones,4,1
dimensión,14,4
diminutivo,1,0
dimisiones,0,1
dimos,0,1
dinamarca,1,1
dinamitan,0,1
dinamitar,0,2
dinamitarlo,0,2
dinamitó,0,1
dinastía,0,1
dinatale,0,1
dinero,31,66
dineros,0,1
dinámica,2,4
dinámico,0,1
dio,50,22
dionisíaco,1,0
dios,31,8
dioses,1,0
diotti,1,0
diplomacia,0,2
diplomáticas,3,0
diplomático,7,0
diputada,18,11
diputadas,1,1
diputado,20,8
diputados,13,16
diputrucho,1,0
diputruchos,1,0
dique,5,2
direccionada,0,1
direcciones,5,1
dirección,8,9
directa,3,7
directamente,13,10
directas,0,1
directiva,1,1
directivas,0,4
directivos,3,0
directo,4,4
director,6,7
directora,1,2
directores,0,1
directorio,0,1
directos,1,2
directra,1,0
dirige,9,0
dirigencia,9,7
dirigenciales,1,0
dirigente,18,9
dirigentes,39,25
diriges,1,0
dirigida,2,2
dirigidas,2,1
dirigido,2,2
dirigiera,1,0
dirigir,1,0
dirigió,6,1
dirigía,5,0
dirimir,1,1
dirimirlo,0,1
dirimían,1,0
dirá,14,1
dirán,0,3
dirás,0,2
diré,0,4
diría,19,18
diríamos,1,0
discapacitados,1,0
discepolo,0,2
discernimiento,2,0
discernir,2,0
disciplina,3,3
disciplinada,2,0
disciplinador,0,1
disciplinadores,1,0
disciplinados,0,1
disciplinar,0,2
disciplinario,0,1
disciplinarlos,0,1
disciplinarme,1,0
disciplinaría,1,0
disconformidad,1,0
discordante,2,0
discrecional,0,3
discrecionalidad,0,3
discreción,1,2
discrepaban,1,0
discrepancias,1,0
discreta,1,1
discriminaciones,1,0
discriminación,1,0
discriminadores,0,1
discriminan,1,0
disculpado,1,0
disculparse,1,0
disculparán,0,1
disculpas,4,0
disculpe,4,4
disculpen,2,0
discursiva,2,0
discursivo,2,0
discurso,78,30
discursos,27,2
discusiones,10,2
discusión,23,13
discutan,2,0
discute,0,2
discuten,2,1
discutible,1,1
discutibles,0,1
discutido,2,1
discutidor,1,0
discutidores,1,0
discutiendo,5,2
discutieran,1,0
discutieron,1,1
discutimos,3,0
discutir,17,11
discutió,0,1
discuto,1,0
discutía,2,0
discutíamos,2,0
discutían,2,0
discípulo,0,2
diseminadas,0,1
diseminó,2,0
disenso,1,0
disentir,1,1
disentían,1,0
disertación,1,0
diseña,1,2
diseñada,1,0
diseñados,1,0
diseñan,1,0
diseñando,1,0
diseñar,0,2
diseño,0,3
diseños,0,2
diseñó,1,2
disfonía,1,0
disfraz,1,0
disfrazaba,1,0
disfrazada,0,1
disfrazado,0,2
disfrazaron,1,0
disfrazó,0,1
disfruta,1,3
disfrutando,0,1
disfrutar,2,1
disfrutará,1,0
disfrutó,1,0
disfrútenla,1,0
disfuminar,1,0
disfónica,3,0
disgregan,1,0
disgusto,1,1
disgustó,0,1
disidencia,2,2
disidencias,0,1
disidente,3,0
disidentes,2,2
disiente,1,0
disienten,0,1
disimula,2,0
disimulan,3,0
disimular,0,1
disimulo,0,1
disimuló,1,0
disipada,1,0
disipado,1,0
dislates,0,1
disminución,0,1
disminuida,0,1
disminuir,0,1
disminuya,1,0
disminuyan,1,0
disminuye,1,0
disminuyendo,1,1
disney,1,0
disolución,0,1
disolver,1,1
disolvió,0,1
dispara,0,2
disparados,0,1
disparar,0,1
disparara,0,1
dispararon,2,0
disparatada,0,1
disparatadas,0,1
disparatado,1,0
disparate,3,6
disparo,0,1
disparó,3,0
dispensa,1,0
dispensó,1,0
dispersa,0,1
dispersando,0,1
dispone,0,3
disponer,2,0
disponibilidad,0,1
disponible,1,0
disponibles,1,1
disposiciones,0,1
disposición,3,2
dispositivo,1,0
dispositivos,1,0
dispuesta,2,4
dispuestas,3,0
dispuesto,7,4
dispuestos,8,3
disputa,2,4
disputaba,0,1
disputaban,1,0
disputan,0,2
disputar,4,0
disputarán,1,0
dista,2,0
distaban,0,1
distancia,11,4
distanciaban,1,0
distancias,2,0
distanció,0,1
distante,4,1
distantes,0,1
distendida,2,0
distendidos,1,0
distinciones,0,1
distinción,3,0
distingo,1,0
distingue,1,0
distinguida,1,0
distinguir,1,0
distinguió,0,1
distinta,6,6
distintas,13,16
distinto,21,6
distintos,12,14
distorsiona,1,0
distorsionadas,1,0
distorsiones,0,1
distorsión,1,1
distraccion,1,0
distracción,1,1
distrae,1,0
distraer,2,1
distraerse,4,0
distraído,2,0
distribución,5,9
distribuir,2,0
distributivas,1,0
distribuya,2,0
